Active Conda environment: cfl_test_env

Training LSTM Model
Epoch [1/50], Loss: 0.6962, Val Loss: 0.6934, Val Acc: 0.5000
Epoch [2/50], Loss: 0.6948, Val Loss: 0.6931, Val Acc: 0.5000
Epoch [3/50], Loss: 0.6939, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [4/50], Loss: 0.6941, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [5/50], Loss: 0.6940, Val Loss: 0.6931, Val Acc: 0.5000
Epoch [6/50], Loss: 0.6962, Val Loss: 0.6947, Val Acc: 0.5000
Epoch [7/50], Loss: 0.6967, Val Loss: 0.6945, Val Acc: 0.5000
Epoch [8/50], Loss: 0.6952, Val Loss: 0.6941, Val Acc: 0.5000
Epoch [9/50], Loss: 0.6947, Val Loss: 0.6936, Val Acc: 0.5000
Epoch [10/50], Loss: 0.6941, Val Loss: 0.6933, Val Acc: 0.5000
Epoch [11/50], Loss: 0.6941, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [12/50], Loss: 0.6937, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [13/50], Loss: 0.6937, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [14/50], Loss: 0.6938, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [15/50], Loss: 0.6935, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [16/50], Loss: 0.6935, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [17/50], Loss: 0.6935, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [18/50], Loss: 0.6923, Val Loss: 0.6931, Val Acc: 0.5000
Epoch [19/50], Loss: 0.6933, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [20/50], Loss: 0.6940, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [21/50], Loss: 0.7052, Val Loss: 0.6951, Val Acc: 0.5000
Epoch [22/50], Loss: 0.6944, Val Loss: 0.6937, Val Acc: 0.5000
Epoch [23/50], Loss: 0.6941, Val Loss: 0.6951, Val Acc: 0.5000
Epoch [24/50], Loss: 0.6986, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [25/50], Loss: 0.6938, Val Loss: 0.6931, Val Acc: 0.5000
Epoch [26/50], Loss: 0.6916, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [27/50], Loss: 0.6885, Val Loss: 0.6936, Val Acc: 0.5000
Epoch [28/50], Loss: 0.6910, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [29/50], Loss: 0.6919, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [30/50], Loss: 0.5147, Val Loss: 0.1992, Val Acc: 0.9460
Epoch [31/50], Loss: 0.0635, Val Loss: 1.1772, Val Acc: 0.6830
Epoch [32/50], Loss: 0.0628, Val Loss: 0.3608, Val Acc: 0.8630
Epoch [33/50], Loss: 0.0471, Val Loss: 0.0447, Val Acc: 0.9900
Epoch [34/50], Loss: 0.0298, Val Loss: 0.4999, Val Acc: 0.8210
Epoch [35/50], Loss: 0.0260, Val Loss: 0.0413, Val Acc: 0.9940
Epoch [36/50], Loss: 0.0212, Val Loss: 0.0376, Val Acc: 0.9940
Epoch [37/50], Loss: 0.0082, Val Loss: 0.0325, Val Acc: 0.9950
Epoch [38/50], Loss: 0.0136, Val Loss: 0.0259, Val Acc: 0.9950
Epoch [39/50], Loss: 0.0068, Val Loss: 0.0247, Val Acc: 0.9950
Epoch [40/50], Loss: 0.0036, Val Loss: 0.0231, Val Acc: 0.9950
Epoch [41/50], Loss: 0.0031, Val Loss: 0.0339, Val Acc: 0.9950
Epoch [42/50], Loss: 0.0088, Val Loss: 0.0282, Val Acc: 0.9950
Epoch [43/50], Loss: 0.0078, Val Loss: 0.0246, Val Acc: 0.9950
Epoch [44/50], Loss: 0.0060, Val Loss: 0.2219, Val Acc: 0.9010
Epoch [45/50], Loss: 0.0045, Val Loss: 0.0201, Val Acc: 0.9950
Epoch [46/50], Loss: 0.0024, Val Loss: 0.0216, Val Acc: 0.9960
Epoch [47/50], Loss: 0.0024, Val Loss: 0.0174, Val Acc: 0.9960
Epoch [48/50], Loss: 0.0019, Val Loss: 0.0125, Val Acc: 0.9970
Epoch [49/50], Loss: 0.0082, Val Loss: 0.0239, Val Acc: 0.9960
Epoch [50/50], Loss: 0.0007, Val Loss: 0.0167, Val Acc: 0.9980
Training completed in 4616.59 seconds

Evaluating LSTM Model
Accuracy: 0.9990
