Active Conda environment: cfl_test_env

Training LSTM Model
Epoch [1/50], Loss: 0.6962, Val Loss: 0.6934, Val Acc: 0.5000
Epoch [2/50], Loss: 0.6947, Val Loss: 0.6931, Val Acc: 0.5000
Epoch [3/50], Loss: 0.6939, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [4/50], Loss: 0.6941, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [5/50], Loss: 0.6942, Val Loss: 0.6931, Val Acc: 0.5000
Epoch [6/50], Loss: 0.6937, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [7/50], Loss: 0.6937, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [8/50], Loss: 0.6937, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [9/50], Loss: 0.6936, Val Loss: 0.6931, Val Acc: 0.5000
Epoch [10/50], Loss: 0.6987, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [11/50], Loss: 0.6938, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [12/50], Loss: 0.6962, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [13/50], Loss: 0.6930, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [14/50], Loss: 0.6931, Val Loss: 0.6933, Val Acc: 0.5000
Epoch [15/50], Loss: 0.6935, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [16/50], Loss: 0.6935, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [17/50], Loss: 0.6948, Val Loss: 0.6949, Val Acc: 0.5000
Epoch [18/50], Loss: 0.6976, Val Loss: 0.6933, Val Acc: 0.5000
Epoch [19/50], Loss: 0.6942, Val Loss: 0.6939, Val Acc: 0.5000
Epoch [20/50], Loss: 0.6964, Val Loss: 0.6933, Val Acc: 0.5000
Epoch [21/50], Loss: 0.6931, Val Loss: 0.6937, Val Acc: 0.5000
Epoch [22/50], Loss: 0.6936, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [23/50], Loss: 0.6935, Val Loss: 0.6937, Val Acc: 0.5000
Epoch [24/50], Loss: 0.6942, Val Loss: 0.6933, Val Acc: 0.5000
Epoch [25/50], Loss: 0.6907, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [26/50], Loss: 0.7010, Val Loss: 0.6934, Val Acc: 0.5000
Epoch [27/50], Loss: 0.6916, Val Loss: 0.6935, Val Acc: 0.5000
Epoch [28/50], Loss: 0.6937, Val Loss: 0.6931, Val Acc: 0.5000
Epoch [29/50], Loss: 0.6912, Val Loss: 0.6932, Val Acc: 0.5000
Epoch [30/50], Loss: 0.6135, Val Loss: 0.6808, Val Acc: 0.5000
Epoch [31/50], Loss: 0.4589, Val Loss: 0.1135, Val Acc: 0.9760
Epoch [32/50], Loss: 0.0931, Val Loss: 0.0812, Val Acc: 0.9810
Epoch [33/50], Loss: 0.0518, Val Loss: 0.0519, Val Acc: 0.9890
Epoch [34/50], Loss: 0.0414, Val Loss: 0.0569, Val Acc: 0.9900
Epoch [35/50], Loss: 0.0584, Val Loss: 0.0540, Val Acc: 0.9890
Epoch [36/50], Loss: 0.0427, Val Loss: 0.0592, Val Acc: 0.9930
Epoch [37/50], Loss: 0.0216, Val Loss: 0.0387, Val Acc: 0.9930
Epoch [38/50], Loss: 0.0260, Val Loss: 0.0485, Val Acc: 0.9940
Epoch [39/50], Loss: 0.0149, Val Loss: 0.0244, Val Acc: 0.9940
Epoch [40/50], Loss: 0.0074, Val Loss: 0.4682, Val Acc: 0.8210
Epoch [41/50], Loss: 0.0106, Val Loss: 0.0292, Val Acc: 0.9950
Epoch [42/50], Loss: 0.0042, Val Loss: 0.0770, Val Acc: 0.9780
Epoch [43/50], Loss: 0.0102, Val Loss: 0.0268, Val Acc: 0.9950
Epoch [44/50], Loss: 0.0064, Val Loss: 0.0264, Val Acc: 0.9950
Epoch [45/50], Loss: 0.0039, Val Loss: 0.0209, Val Acc: 0.9960
Epoch [46/50], Loss: 0.0072, Val Loss: 0.0296, Val Acc: 0.9950
Epoch [47/50], Loss: 0.0075, Val Loss: 0.0238, Val Acc: 0.9950
Epoch [48/50], Loss: 0.0054, Val Loss: 0.0197, Val Acc: 0.9960
Epoch [49/50], Loss: 0.0022, Val Loss: 0.0123, Val Acc: 0.9970
Epoch [50/50], Loss: 0.0022, Val Loss: 0.0202, Val Acc: 0.9960
Training completed in 4732.55 seconds

Evaluating LSTM Model
Accuracy: 0.9970
